OrderID,Date,Customer,Product,Category,Quantity,Price
1003,31-08-2023,Rahul Mehta,Headphones,Electronics,2,1299
1005,22-12-2023,Rahul Mehta,Headphones,Electronics,4,1299
1010,09-05-2023,Amit Sharma,Smartphone,Electronics,1,15999
1011,04-01-2023,Priya Singh,Mouse,Electronics,5,499
1012,30-07-2023,Rohit Gupta,Smartphone,Electronics,5,15999
1013,14-08-2023,Rohit Gupta,Laptop,Electronics,2,45999
1017,05-09-2023,Neha Verma,Headphones,Electronics,5,1299
1018,16-03-2023,Amit Sharma,Laptop,Electronics,3,45999
1019,16-10-2023,Rahul Mehta,Printer,Electronics,2,8999
1022,11-10-2023,Priya Singh,Smartphone,Electronics,2,15999
1028,21-12-2023,Anjali Chauhan,Laptop,Electronics,1,45999
1029,21-05-2023,Rahul Mehta,Laptop,Electronics,5,45999
1030,31-08-2023,Neha Verma,Laptop,Electronics,3,45999
1032,01-10-2023,Rohit Gupta,Mouse,Electronics,2,499
1033,23-05-2023,Priya Singh,Headphones,Electronics,4,1299
1035,26-08-2023,Priya Singh,Smartphone,Electronics,4,15999
1039,16-03-2023,Amit Sharma,Printer,Electronics,5,8999
1046,20-07-2023,Neha Verma,Printer,Electronics,3,8999
1048,17-04-2023,Rahul Mehta,Smartphone,Electronics,3,15999
1051,07-03-2023,Anjali Chauhan,Laptop,Electronics,1,45999
1052,30-04-2023,Amit Sharma,Mouse,Electronics,4,499
1054,20-03-2023,Rohit Gupta,Laptop,Electronics,1,45999
1055,05-10-2023,Neha Verma,Mouse,Electronics,4,499
1058,14-01-2023,Neha Verma,Printer,Electronics,5,8999
1059,08-09-2023,Rohit Gupta,Printer,Electronics,1,8999
1063,20-06-2023,Priya Singh,Smartphone,Electronics,3,15999
1068,06-02-2023,Priya Singh,Laptop,Electronics,2,45999
1069,04-12-2023,Neha Verma,Printer,Electronics,3,8999
1070,11-11-2023,Priya Singh,Laptop,Electronics,5,45999
1071,03-10-2023,Neha Verma,Smartphone,Electronics,4,15999
1074,30-09-2023,Amit Sharma,Smartphone,Electronics,2,15999
1075,10-09-2023,Rohit Gupta,Headphones,Electronics,5,1299
1076,13-06-2023,Rohit Gupta,Laptop,Electronics,3,45999
1079,13-03-2023,Neha Verma,Headphones,Electronics,3,1299
1080,11-08-2023,Priya Singh,Smartphone,Electronics,4,15999
1082,20-01-2023,Rahul Mehta,Printer,Electronics,5,8999
1083,30-03-2023,Amit Sharma,Laptop,Electronics,2,45999
1085,09-03-2023,Amit Sharma,Headphones,Electronics,3,1299
1086,21-11-2023,Rohit Gupta,Headphones,Electronics,4,1299
1089,18-05-2023,Neha Verma,Headphones,Electronics,3,1299
1090,19-10-2023,Priya Singh,Printer,Electronics,4,8999
1091,08-03-2023,Priya Singh,Smartphone,Electronics,3,15999
1092,23-05-2023,Priya Singh,Laptop,Electronics,5,45999
1096,22-12-2023,Rohit Gupta,Mouse,Electronics,3,499
1097,28-07-2023,Anjali Chauhan,Printer,Electronics,4,8999
1101,18-05-2023,Rahul Mehta,Smartphone,Electronics,5,15999
1103,08-12-2023,Rahul Mehta,Laptop,Electronics,5,45999
1104,29-06-2023,Rohit Gupta,Printer,Electronics,1,8999
1109,25-02-2023,Anjali Chauhan,Printer,Electronics,1,8999
1110,17-05-2023,Rohit Gupta,Mouse,Electronics,1,499
1111,22-09-2023,Rahul Mehta,Printer,Electronics,5,8999
1115,07-10-2023,Priya Singh,Mouse,Electronics,1,499
1116,04-11-2023,Priya Singh,Smartphone,Electronics,4,15999
1125,10-08-2023,Amit Sharma,Laptop,Electronics,3,45999
1126,21-02-2023,Neha Verma,Laptop,Electronics,5,45999
1128,18-10-2023,Amit Sharma,Headphones,Electronics,1,1299
1130,01-06-2023,Neha Verma,Mouse,Electronics,2,499
1134,11-07-2023,Amit Sharma,Smartphone,Electronics,3,15999
1135,22-11-2023,Rahul Mehta,Headphones,Electronics,5,1299
1137,02-01-2023,Priya Singh,Laptop,Electronics,3,45999
1138,04-12-2023,Amit Sharma,Laptop,Electronics,1,45999
1140,24-06-2023,Rohit Gupta,Printer,Electronics,5,8999
1142,09-02-2023,Rohit Gupta,Smartphone,Electronics,3,15999
1143,03-11-2023,Neha Verma,Printer,Electronics,4,8999
1144,27-10-2023,Neha Verma,Smartphone,Electronics,4,15999
1145,05-05-2023,Priya Singh,Smartphone,Electronics,4,15999
1147,08-10-2023,Anjali Chauhan,Smartphone,Electronics,4,15999
1150,16-12-2023,Rohit Gupta,Smartphone,Electronics,5,15999
1153,31-10-2023,Amit Sharma,Laptop,Electronics,2,45999
1155,06-05-2023,Priya Singh,Smartphone,Electronics,5,15999
1157,18-01-2023,Neha Verma,Laptop,Electronics,4,45999
1160,25-07-2023,Rahul Mehta,Smartphone,Electronics,1,15999
1162,31-05-2023,Neha Verma,Headphones,Electronics,1,1299
1163,24-07-2023,Amit Sharma,Mouse,Electronics,4,499
1164,19-03-2023,Priya Singh,Smartphone,Electronics,1,15999
1165,05-11-2023,Rohit Gupta,Smartphone,Electronics,3,15999
1170,12-04-2023,Rahul Mehta,Smartphone,Electronics,3,15999
1173,18-12-2023,Neha Verma,Mouse,Electronics,3,499
1176,17-03-2023,Anjali Chauhan,Mouse,Electronics,2,499
1178,30-08-2023,Rohit Gupta,Laptop,Electronics,3,45999
